nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Japon,125800000,377975,Asia
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
Canada,38960000,9984670,America
China,1412000000,9596961,Asia
Australia,26160000,7692024,Oceania
Mexico,129900000,1964375,America
Egipto,112700000,1002450,Africa
Reino Unido,67600000,243610,Europa
Francia,67800000,551695,Europa
Italia,59000000,301340,Europa
Sudafrica,60400000,1219090,Africa
Rusia,144400000,17098242,Europa
Arabia Saudita,36200000,2149690,Asia
Nigeria,223800000,923768,Africa
Chile,19600000,756096,America
Nueva Zelanda,5200000,268021,Oceania
Suecia,10500000,450295,Europa
